Section,Remarks,COMName,NetProtocol,RemoteIP,RemotePort,LocalPort,RegID,CloudId,CloudPw
134,SJVH_Kekhovani,COM100,TCP Client,10.170.0.42,23,--,0,,
135,SJVH_Tsagveri,COM101,TCP Client,10.170.0.24,23,--,0,,
136,SJVH_Bakuriani_Kokhta,COM91,TCP Client,10.170.0.135,23,--,0,,
137,SJVH_Atskuri_MNT,COM102,TCP Client,10.170.0.85,23,--,0,,
138,SJVH_Sakire,COM103,TCP Client,10.170.0.83,23,--,0,,
139,MEGR_Didi_Chkoni,COM105,TCP Client,10.170.13.35,23,--,0,,
140,IMRT_Nunisi,COM74,TCP Client,10.170.0.92,23,--,0,,
141,MEGR_Martvili,COM104,TCP Client,10.170.13.43,23,--,0,,
142,MEGR_TSAISHI,COM106,TCP Client,10.170.15.66,23,--,0,,
143,IMRT_Nadaburi,COM73,TCP Client,10.170.12.120,23,--,0,,
144,ADJR_Sarpi,COM62,TCP Client,10.170.10.5,23,--,0,,
145,SJVH_Poka,COM107,TCP Client,10.170.0.82,23,--,0,,
146,GURI_Surebi,COM61,TCP Client,10.170.11.14,23,--,0,,
147,RACH_Khonchiori,COM53,TCP Client,10.170.13.87,23,--,0,,
148,SHDK_Khashuri_TV_Modem,COM85,TCP Client,10.170.0.6,23,--,0,,
149,SHDK_Gomi_Modem_IP,COM90,TCP Client,10.170.4.18,23,--,0,,
150,KRTL_Bolnisi_Modem,COM96,TCP Client,10.170.3.124,23,--,0,,
151,IMRT_Rikoti_Modem,COM157,TCP Client,10.170.12.12,23,--,0,,
152,SJVH_Bakuriani_park,COM18,TCP Client,10.170.0.119,23,--,0,,
153,KAKH_Barjiskhevi,COM155,TCP Client,10.170.2.130,23,--,0,,
154,KRTL_Marneuli_MNT,COM156,TCP Client,10.170.3.117,23,--,0,,
155,KAKH_Darcheti,COM153,TCP Client,10.170.2.31,23,--,0,,
156,KAKH_Shilda,COM154,TCP Client,10.170.2.58,23,--,0,,
157,MEGR_Napichkhovo_Modem,COM158,TCP Client,10.170.13.79,23,--,0,,
158,MSTN_Kvesheti_Modem,COM159,TCP Client,10.170.3.91,23,--,0,,
159,TBLS_Kazreti_TV,COM160,TCP Client,10.170.6.24,23,--,0,,
